,link,text,user,likes,quotes,retweets,comments
56,https://twitter.com/narendramodi/status/1799855453180195321#m,Took oath as Prime Minister at the ceremony earlier this evening. I look forward to serving 140 crore Indians and working with the Council of Ministers to take India to new heights of progress.,Narendra Modi,207539,1189,30804,5614
57,https://twitter.com/narendramodi/status/1799855457110262243#m,"Congratulations to all those who have taken oath today. This team of Ministers is a great blend of youth and experience, and we will leave no stone unturned in improving the lives of people.",Narendra Modi,18576,39,4097,265
58,https://twitter.com/narendramodi/status/1799855461296152970#m,I am grateful to all the foreign dignitaries who joined the swearing in ceremony. India will always work closely with our valued partners in pursuit of human progress.,Narendra Modi,21382,57,4466,305
59,https://twitter.com/myogiadityanath/status/1799852636860014897#m,जम्मू-कश्मीर में तीर्थ यात्रियों की बस पर हुआ कायराना हमला अत्यंत दु:खद है।  मेरी ओर से दिवंगत पुण्यात्माओं को विनम्र श्रद्धांजलि! मेरी संवेदनाएं शोक संतप्त परिजनों के साथ हैं।  प्रभु श्री राम से प्रार्थना है कि दिवंगत पुण्यात्माओं को अपने श्री चरणों में स्थान और सभी घायलों को…,Yogi Adityanath,34715,124,8464,876
60,https://twitter.com/myogiadityanath/status/1799842105621143983#m,"केंद्र सरकार में आज मंत्री पद की शपथ लेने वाले समस्त माननीय गण को हार्दिक बधाई!  आदरणीय प्रधानमंत्री श्री @narendramodi जी के युगांतरकारी नेतृत्व में आप सभी की लोक-निष्ठा, राष्ट्र-निष्ठा, दक्षता और कर्मठता 'आत्मनिर्भर भारत-विकसित भारत' के संकल्प को साकार करने में सहायक सिद्ध…",Yogi Adityanath,19238,23,2394,309
61,https://twitter.com/myogiadityanath/status/1799806105574346998#m,"140 करोड़ भारतीयों की आशाओं, आकांक्षाओं की पूर्ति हेतु प्रतिबद्ध आदरणीय प्रधानमंत्री श्री @narendramodi जी को लगातार तीसरी बार प्रधानमंत्री पद की शपथ लेने पर हार्दिक बधाई!  आपकी अविराम साधना का ही प्रतिफल है कि पिछले 10 वर्षों में राष्ट्र का 'नव उत्थान' हुआ है। गरीब, महिला,…",Yogi Adityanath,65321,348,11684,1525
62,https://twitter.com/narendramodi/status/1799799445392970002#m,Honoured to serve Bharat. Watch the oath-taking ceremony. https://nitter.kavin.rocks/i/broadcasts/1YpJkwgROzyJj,Narendra Modi,99882,1056,21434,4401
63,https://twitter.com/myogiadityanath/status/1799800054141620411#m,"आदरणीय प्रधानमंत्री श्री @narendramodi जी के शपथ ग्रहण हेतु राष्ट्रपति भवन, नई दिल्ली में आयोजित समारोह में... https://nitter.kavin.rocks/i/broadcasts/1ynJOyagXmEKR",Yogi Adityanath,10517,34,2026,371
64,https://twitter.com/myogiadityanath/status/1799598660709179542#m,"जनजातीय गौरव, 'धरती आबा' भगवान बिरसा मुंडा ने देश की जनजातीय संस्कृति के संरक्षण और स्वतंत्रता के लिए माँ भारती की सेवा में अपना पूरा जीवन समर्पित कर दिया।  स्वधर्म व मातृभूमि की रक्षा हेतु सतत संघर्षरत रहे भगवान बिरसा की पुण्यतिथि पर उन्हें विनम्र श्रद्धांजलि!",Yogi Adityanath,10076,30,1669,469
65,https://twitter.com/myogiadityanath/status/1799490840508674255#m,प्रिय युवा साथियो!  उत्तर प्रदेश में चयन परीक्षाओं की शुचिता पारदर्शिता और गोपनीयता को सुनिश्चित करने हेतु हम पूर्णतः प्रतिबद्ध हैं।  साल्वर गैंग/पेपर लीक कराने जैसी गतिविधियों पर पूर्णतः रोक लगाने के लिए प्रदेश में शीघ्र नया कानून लागू करने जा रहे हैं। किसी भी कीमत पर युवाओं के…,Yogi Adityanath,58411,506,9306,2859
66,https://twitter.com/myogiadityanath/status/1799293691120504948#m,"Saddened by the demise of Shri Ramoji Rao Ji, Founder and Chairman of Ramoji Group.  His contributions to the media & film industry and his legacy through the Ramoji Group have left an indelible mark.  My thoughts and prayers are with the bereaved family. May Prabhu Shri Ram give…",Yogi Adityanath,11219,21,1540,342
67,https://twitter.com/narendramodi/status/1799089845739917670#m,मेरा एक ही मिशन है- 140 करोड़ देशवासियों के सपनों को पूरा करने के लिए खप जाना।,Narendra Modi,33738,310,6870,2473
68,https://twitter.com/narendramodi/status/1799089692790452461#m,"हमारा फोकस ऐसे विकास पर रहा है, जिसमें देश का कोई भी हिस्सा पीछे ना छूटे।",Narendra Modi,27736,103,5500,993
69,https://twitter.com/narendramodi/status/1799089488905297982#m,"इंडी अलायंस ने जनता-जनार्दन की आंखों में धूल झोंकी है, जिसके लिए देश उसे कभी माफ नहीं करेगा।",Narendra Modi,23597,267,5446,2573
70,https://twitter.com/narendramodi/status/1799089237473604072#m,2024 का जनादेश साफ-साफ बता रहा है कि देश को सिर्फ और सिर्फ एनडीए पर भरोसा है।,Narendra Modi,19150,100,4298,778
71,https://twitter.com/narendramodi/status/1799089093285953935#m,मैं उम्मीद करता हूं कि विपक्ष राष्ट्रहित की नीयत के साथ सदन में आएगा।,Narendra Modi,25825,176,5133,1320
72,https://twitter.com/narendramodi/status/1799088870761353641#m,"ना हम हारे थे, ना हम हारे हैं। ये एनडीए की महाविजय है।",Narendra Modi,50405,275,9759,1774
73,https://twitter.com/narendramodi/status/1799088721695854638#m,इस चुनाव में इंडी अलायंस ने लगातार देशवासियों को गुमराह करने और बांटने का प्रयास किया।,Narendra Modi,14815,77,3539,624
74,https://twitter.com/narendramodi/status/1799088494825918702#m,EVM ने इंडी अलायंस के झूठ का हर तरह से पर्दाफाश कर दिया है।,Narendra Modi,34626,134,7046,794
75,https://twitter.com/narendramodi/status/1799088183415636388#m,महाप्रभु जगन्नाथ की कृपा से आने वाले 25 सालों में ओडिशा विकसित भारत की यात्रा का ग्रोथ इंजन बनेगा।,Narendra Modi,36180,126,6711,764
76,https://twitter.com/narendramodi/status/1799087914439066035#m,NDA के सभी साथी मिलकर अगले 10 साल में विकास और गुड गवर्नेंस के नए अध्याय लिखेंगे।,Narendra Modi,17518,67,3901,534
77,https://twitter.com/narendramodi/status/1799087451551535286#m,बीते 10 वर्षों में जनता-जनार्दन ने ये पहली बार अनुभव किया है…,Narendra Modi,14811,33,3369,363
78,https://twitter.com/narendramodi/status/1799087208864911643#m,"देश के इतिहास में कोई भी Pre-Poll Alliance, NDA जितना सफल नहीं रहा है।",Narendra Modi,20258,39,3928,382
79,https://twitter.com/narendramodi/status/1799086927628443828#m,तीसरी बार एनडीए के नेता के रूप में सर्वसम्मति से चुना जाना मुझे भावुक कर गया है।,Narendra Modi,64564,259,11186,2002
80,https://twitter.com/narendramodi/status/1799064097742578164#m,"NDA will form a strong, stable and growth-oriented government.   Speaking outside Rashtrapati Bhavan. https://nitter.kavin.rocks/i/broadcasts/1vOxwjyakzWJB",Narendra Modi,54251,260,11851,1880
